x,Pv
0.0018885916666090507,2.555938964461565e-05
0.001901689330114906,2.571250939477969e-05
0.0019148778278610821,2.586776028264861e-05
0.0019281577897965168,2.6025171969034166e-05
0.0019415298502389376,2.6184774529812203e-05
0.001954994647905159,2.6346598460122945e-05
0.0019685528259415926,2.6510674672059067e-05
0.0019822050319549638,2.667703451174665e-05
0.001995951918043249,2.6845709762235033e-05
0.0020097941408268195,2.701673264893241e-05
0.002023732361479806,2.7190135845722423e-05
0.0020377672457616816,2.736595248110851e-05
0.0020518994640490586,2.7544216144820042e-05
0.002066129691367711,2.7724960893899968e-05
0.002080458607424817,2.7908221259382064e-05
0.0020948868966414245,2.809403225303643e-05
0.0021094152481851433,2.8282429373718578e-05
0.0021240443560030637,2.8473448614420192e-05
0.0021387749188549,2.8667126468947055e-05
0.0021536076403463706,2.886349993907566e-05
0.0021685432289628034,2.9062606541570046e-05
0.0021835823981029767,2.926448431524929e-05
0.0021987258661131963,2.9469171828247474e-05
0.002213974356321605,2.9676708185618375e-05
0.002229328597072735,2.9887133036463743e-05
0.0022447893217622944,3.0100486581714868e-05
0.0022603572688722007,3.0316809581927453e-05
0.0022760331820058503,3.053614336473388e-05
0.0022918178099236484,3.075852983302473e-05
0.0023077119065787488,3.098401147271747e-05
0.0023237162311531014,3.121263136111252e-05
0.002339831548093676,3.144443317506054e-05
0.0023560586271490153,3.167946119925006e-05
0.0023723982434059624,3.191776033750003e-05
0.0023888511773267206,3.2159376121170316e-05
0.002405418214786104,3.240435470162531e-05
0.002422100147109088,3.265274288016514e-05
0.0024388977711086034,3.290458810994534e-05
0.002455811889123598,3.315993850431802e-05
0.002472843309057359,3.3418842846329274e-05
0.0024899928444161016,3.368135059777039e-05
0.002507261314347829,3.394751190890541e-05
0.0025246495436814565,3.421737762798889e-05
0.002542158362966211,3.449099931069564e-05
0.0025597886085113003,3.4768429230209904e-05
0.002577541122425862,3.504972038732288e-05
0.0025954167526591847,3.5334926520206346e-05
0.002613416353041212,3.5624102114955e-05
0.0026315407833233237,3.59173024160222e-05
0.002649790909219404,3.6214583436486754e-05
0.0026681676024471915,3.65160019690277e-05
0.0026866717407699157,3.682161559652292e-05
0.002705304208038225,3.7131482703328596e-05
0.002724065894232403,3.744566248638037e-05
0.0027429576955048792,3.776421496614305e-05
